Region	Month	For-Sale Property Type	Average Monthly Rent	Average Rent YoY	Monthly mortgage, 5% down	Monthly mortgage, 5% down YoY	Monthly mortgage, 20% down	Monthly mortgage, 20% down YoY	Median sale price	Median sale price YoY
Fort Worth, TX	April 2021	Townhouse	$1,733		$1,282		$1,079		$317,550	10.2%
Fort Worth, TX	May 2021	All Residential	$1,809		$1,235		$1,040		$310,000	24.0%
Fort Worth, TX	May 2021	Condo/Co-op	$1,809		$1,034		$871		$259,500	62.2%
Fort Worth, TX	May 2021	Multi-Family (2-4 Unit)	$1,809		$956		$805		$240,000	24.0%
Fort Worth, TX	May 2021	Single Family Residential	$1,809		$1,235		$1,040		$310,000	24.0%
Fort Worth, TX	May 2021	Townhouse	$1,809		$1,196		$1,007		$300,130	17.2%
Fort Worth, TX	June 2021	All Residential	$1,838		$1,248		$1,051		$312,500	20.4%
Fort Worth, TX	June 2021	Condo/Co-op	$1,838		$759		$639		$189,950	21.8%
Fort Worth, TX	June 2021	Multi-Family (2-4 Unit)	$1,838		$1,039		$875		$260,000	5.3%
Fort Worth, TX	June 2021	Single Family Residential	$1,838		$1,258		$1,060		$315,000	21.2%
Fort Worth, TX	June 2021	Townhouse	$1,838		$1,073		$903		$268,510	22.1%
Fort Worth, TX	July 2021	All Residential	$1,909		$1,257		$1,058		$319,000	20.4%
Fort Worth, TX	July 2021	Condo/Co-op	$1,909		$827		$697		$210,000	50.0%
Fort Worth, TX	July 2021	Multi-Family (2-4 Unit)	$1,909		$1,177		$991		$298,750	35.8%
Fort Worth, TX	July 2021	Single Family Residential	$1,909		$1,267		$1,067		$321,630	21.4%
Fort Worth, TX	July 2021	Townhouse	$1,909		$1,162		$979		$295,000	19.7%
Fort Worth, TX	August 2021	All Residential	$1,935		$1,236		$1,041		$315,000	18.9%
Fort Worth, TX	August 2021	Condo/Co-op	$1,935		$673		$567		$171,500	17.5%
Fort Worth, TX	August 2021	Multi-Family (2-4 Unit)	$1,935		$1,207		$1,016		$307,500	39.3%
Fort Worth, TX	August 2021	Single Family Residential	$1,935		$1,244		$1,047		$317,000	19.5%
Fort Worth, TX	August 2021	Townhouse	$1,935		$1,246		$1,049		$317,490	41.6%
Fort Worth, TX	September 2021	All Residential	$1,953		$1,246		$1,049		$315,000	18.9%
Fort Worth, TX	September 2021	Condo/Co-op	$1,953		$647		$545		$163,750	11.1%
Fort Worth, TX	September 2021	Multi-Family (2-4 Unit)	$1,953		$1,028		$866		$260,000	11.1%
Fort Worth, TX	September 2021	Single Family Residential	$1,953		$1,265		$1,065		$319,945	20.3%
Fort Worth, TX	September 2021	Townhouse	$1,953		$1,198		$1,009		$303,095	44.3%
Fort Worth, TX	October 2021	All Residential	$1,998		$1,285		$1,082		$318,000	17.8%
Fort Worth, TX	October 2021	Condo/Co-op	$1,998		$727		$613		$180,000	20.0%
Fort Worth, TX	October 2021	Multi-Family (2-4 Unit)	$1,998		$1,068		$899		$264,306	30.8%
Fort Worth, TX	October 2021	Single Family Residential	$1,998		$1,293		$1,089		$320,000	17.6%
Fort Worth, TX	October 2021	Townhouse	$1,998		$1,212		$1,021		$299,986	24.0%
Fort Worth, TX	November 2021	All Residential	$2,070		$1,301		$1,096		$322,050	21.1%
Fort Worth, TX	November 2021	Condo/Co-op	$2,070		$711		$599		$176,000	0.0%
Fort Worth, TX	November 2021	Multi-Family (2-4 Unit)	$2,070		$1,391		$1,171		$344,200	96.7%
Fort Worth, TX	November 2021	Single Family Residential	$2,070		$1,311		$1,104		$324,455	20.7%
Fort Worth, TX	November 2021	Townhouse	$2,070		$1,191		$1,003		$294,750	9.8%
Fort Worth, TX	December 2021	All Residential	$2,081		$1,359		$1,144		$335,000	23.2%
Fort Worth, TX	December 2021	Condo/Co-op	$2,081		$832		$700		$205,000	37.6%
Fort Worth, TX	December 2021	Multi-Family (2-4 Unit)	$2,081		$1,116		$939		$275,000	41.0%
Fort Worth, TX	December 2021	Single Family Residential	$2,081		$1,375		$1,158		$338,900	23.2%
Fort Worth, TX	December 2021	Townhouse	$2,081		$1,263		$1,063		$311,268	23.3%
Fort Worth, TX	January 2022	All Residential	$2,073		$1,407		$1,185		$332,000	24.1%
Fort Worth, TX	January 2022	Condo/Co-op	$2,073		$933		$785		$220,000	7.4%
Fort Worth, TX	January 2022	Multi-Family (2-4 Unit)	$2,073		$1,319		$1,111		$311,130	32.3%
Fort Worth, TX	January 2022	Single Family Residential	$2,073		$1,420		$1,196		$335,000	24.5%
Fort Worth, TX	January 2022	Townhouse	$2,073		$1,416		$1,192		$334,000	19.2%
Fort Worth, TX	February 2022	All Residential	$2,132	24.4%	$1,527	38.0%	$1,285	38.0%	$346,545	22.5%
Fort Worth, TX	February 2022	Condo/Co-op	$2,132	24.4%	$1,266	117.5%	$1,066	117.5%	$287,500	93.0%
Fort Worth, TX	February 2022	Multi-Family (2-4 Unit)	$2,132	24.4%	$1,238	30.6%	$1,042	30.6%	$281,000	15.9%
Fort Worth, TX	February 2022	Single Family Residential	$2,132	24.4%	$1,542	38.4%	$1,298	38.4%	$350,000	22.8%
Fort Worth, TX	February 2022	Townhouse	$2,132	24.4%	$1,465	29.3%	$1,233	29.3%	$332,490	14.7%
Fort Worth, TX	March 2022	All Residential	$2,090	21.7%	$1,629	40.3%	$1,372	40.3%	$352,000	22.6%
Fort Worth, TX	March 2022	Condo/Co-op	$2,090	21.7%	$764	21.8%	$643	21.8%	$165,000	6.5%
Fort Worth, TX	March 2022	Multi-Family (2-4 Unit)	$2,090	21.7%	$1,736	65.0%	$1,462	65.0%	$375,000	44.2%
Fort Worth, TX	March 2022	Single Family Residential	$2,090	21.7%	$1,643	40.5%	$1,384	40.5%	$355,000	22.8%
Fort Worth, TX	March 2022	Townhouse	$2,090	21.7%	$1,379	29.0%	$1,162	29.0%	$298,000	12.8%
Fort Worth, TX	April 2022	All Residential	$2,149	24.0%	$1,908	61.4%	$1,607	61.4%	$375,000	28.0%
Fort Worth, TX	April 2022	Condo/Co-op	$2,149	24.0%	$911	18.3%	$767	18.3%	$179,000	-6.2%
Fort Worth, TX	April 2022	Multi-Family (2-4 Unit)	$2,149	24.0%	$1,664	95.8%	$1,401	95.8%	$327,000	55.3%
Fort Worth, TX	April 2022	Single Family Residential	$2,149	24.0%	$1,934	62.4%	$1,628	62.4%	$380,000	28.8%
Fort Worth, TX	April 2022	Townhouse	$2,149	24.0%	$1,705	33.0%	$1,435	33.0%	$335,000	5.5%
Fort Worth, TX	May 2022	All Residential	$2,200	21.6%	$2,015	63.1%	$1,697	63.1%	$384,950	24.2%
Fort Worth, TX	May 2022	Condo/Co-op	$2,200	21.6%	$1,008	-2.6%	$848	-2.6%	$192,500	-25.8%
Fort Worth, TX	May 2022	Multi-Family (2-4 Unit)	$2,200	21.6%	$1,787	86.9%	$1,505	86.9%	$341,500	42.3%
Fort Worth, TX	May 2022	Single Family Residential	$2,200	21.6%	$2,024	63.8%	$1,704	63.8%	$386,600	24.7%
Fort Worth, TX	May 2022	Townhouse	$2,200	21.6%	$1,775	48.4%	$1,495	48.4%	$339,076	13.0%
Fort Worth, TX	June 2022	All Residential	$2,227	21.2%	$2,098	68.1%	$1,767	68.1%	$388,100	24.2%
Fort Worth, TX	June 2022	Condo/Co-op	$2,227	21.2%	$1,227	61.7%	$1,033	61.7%	$227,000	19.5%
Fort Worth, TX	June 2022	Multi-Family (2-4 Unit)	$2,227	21.2%	$1,616	55.6%	$1,361	55.6%	$299,000	15.0%
Fort Worth, TX	June 2022	Single Family Residential	$2,227	21.2%	$2,108	67.5%	$1,775	67.5%	$390,000	23.8%
Fort Worth, TX	June 2022	Townhouse	$2,227	21.2%	$1,946	81.4%	$1,639	81.4%	$360,000	34.1%
Houston, TX	February 2021	All Residential	$1,595		$1,075		$905		$275,000	12.2%
Houston, TX	February 2021	Condo/Co-op	$1,595		$508		$428		$130,000	-5.1%
Houston, TX	February 2021	Multi-Family (2-4 Unit)	$1,595		$1,161		$978		$297,000	8.0%
Houston, TX	February 2021	Single Family Residential	$1,595		$1,094		$922		$280,000	12.3%
Houston, TX	February 2021	Townhouse	$1,595		$956		$805		$244,511	13.3%
Houston, TX	March 2021	All Residential	$1,560		$1,167		$983		$288,500	15.7%
Houston, TX	March 2021	Condo/Co-op	$1,560		$615		$518		$152,000	12.6%
Houston, TX	March 2021	Multi-Family (2-4 Unit)	$1,560		$1,214		$1,022		$300,015	7.1%
Houston, TX	March 2021	Single Family Residential	$1,560		$1,194		$1,005		$295,000	18.0%
Houston, TX	March 2021	Townhouse	$1,560		$1,088		$917		$268,990	19.0%
Houston, TX	April 2021	All Residential	$1,575		$1,187		$999		$294,000	16.7%
Houston, TX	April 2021	Condo/Co-op	$1,575		$565		$476		$140,001	16.7%
Houston, TX	April 2021	Multi-Family (2-4 Unit)	$1,575		$1,231		$1,037		$305,000	-16.6%
Houston, TX	April 2021	Single Family Residential	$1,575		$1,209		$1,018		$299,485	17.4%
Houston, TX	April 2021	Townhouse	$1,575		$1,130		$952		$280,000	14.3%
Houston, TX	May 2021	All Residential	$1,569		$1,195		$1,007		$300,000	20.5%
Houston, TX	May 2021	Condo/Co-op	$1,569		$630		$530		$158,000	39.8%
Houston, TX	May 2021	Multi-Family (2-4 Unit)	$1,569		$1,375		$1,158		$345,000	29.2%
Houston, TX	May 2021	Single Family Residential	$1,569		$1,233		$1,039		$309,500	23.8%
Houston, TX	May 2021	Townhouse	$1,569		$1,038		$874		$260,500	15.8%
Houston, TX	June 2021	All Residential	$1,627		$1,242		$1,046		$311,000	18.7%
Houston, TX	June 2021	Condo/Co-op	$1,627		$636		$536		$159,250	18.0%
Houston, TX	June 2021	Multi-Family (2-4 Unit)	$1,627		$1,157		$974		$289,500	-5.1%
Houston, TX	June 2021	Single Family Residential	$1,627		$1,269		$1,068		$317,552	19.4%
Houston, TX	June 2021	Townhouse	$1,627		$1,099		$925		$275,000	22.2%
Houston, TX	July 2021	All Residential	$1,658		$1,209		$1,018		$307,000	13.7%
Houston, TX	July 2021	Condo/Co-op	$1,658		$611		$514		$155,000	6.2%
Houston, TX	July 2021	Multi-Family (2-4 Unit)	$1,658		$1,379		$1,161		$350,000	30.8%
Houston, TX	July 2021	Single Family Residential	$1,658		$1,241		$1,045		$315,000	14.5%
Houston, TX	July 2021	Townhouse	$1,658		$1,027		$865		$260,745	12.4%
Houston, TX	August 2021	All Residential	$1,695		$1,203		$1,013		$306,500	15.7%
Houston, TX	August 2021	Condo/Co-op	$1,695		$589		$496		$150,000	13.4%
Houston, TX	August 2021	Multi-Family (2-4 Unit)	$1,695		$1,352		$1,138		$344,500	27.6%
Houston, TX	August 2021	Single Family Residential	$1,695		$1,228		$1,034		$313,000	15.9%
Houston, TX	August 2021	Townhouse	$1,695		$1,053		$887		$268,350	20.9%
Houston, TX	September 2021	All Residential	$1,748		$1,186		$999		$300,000	14.9%
Houston, TX	September 2021	Condo/Co-op	$1,748		$627		$528		$158,500	19.6%
Houston, TX	September 2021	Multi-Family (2-4 Unit)	$1,748		$1,439		$1,212		$364,000	17.8%
Houston, TX	September 2021	Single Family Residential	$1,748		$1,206		$1,016		$305,000	14.6%
Houston, TX	September 2021	Townhouse	$1,748		$1,026		$864		$259,500	21.6%
Houston, TX	October 2021	All Residential	$1,730		$1,233		$1,038		$305,000	15.1%
Houston, TX	October 2021	Condo/Co-op	$1,730		$646		$544		$159,950	11.7%
Houston, TX	October 2021	Multi-Family (2-4 Unit)	$1,730		$1,303		$1,098		$322,500	11.6%
Houston, TX	October 2021	Single Family Residential	$1,730		$1,253		$1,055		$310,000	14.8%
Houston, TX	October 2021	Townhouse	$1,730		$1,071		$902		$265,000	20.5%
Houston, TX	November 2021	All Residential	$1,800		$1,253		$1,055		$310,050	15.3%
Houston, TX	November 2021	Condo/Co-op	$1,800		$645		$543		$159,500	16.8%
Houston, TX	November 2021	Multi-Family (2-4 Unit)	$1,800		$1,566		$1,319		$387,500	40.1%
Houston, TX	November 2021	Single Family Residential	$1,800		$1,273		$1,072		$315,000	15.0%
Houston, TX	November 2021	Townhouse	$1,800		$1,212		$1,021		$300,000	21.0%
Houston, TX	December 2021	All Residential	$1,807		$1,283		$1,080		$316,200	16.5%
Houston, TX	December 2021	Condo/Co-op	$1,807		$657		$553		$162,000	15.7%
Houston, TX	December 2021	Multi-Family (2-4 Unit)	$1,807		$1,807		$1,522		$445,500	55.0%
Houston, TX	December 2021	Single Family Residential	$1,807		$1,310		$1,103		$323,000	17.5%
Houston, TX	December 2021	Townhouse	$1,807		$1,144		$963		$282,000	20.0%
Houston, TX	January 2022	All Residential	$1,836		$1,310		$1,103		$308,990	18.6%
Houston, TX	January 2022	Condo/Co-op	$1,836		$666		$561		$157,000	26.6%
Houston, TX	January 2022	Multi-Family (2-4 Unit)	$1,836		$1,670		$1,407		$394,000	38.2%
Houston, TX	January 2022	Single Family Residential	$1,836		$1,335		$1,125		$315,000	18.4%
Houston, TX	January 2022	Townhouse	$1,836		$1,145		$964		$270,000	14.9%
Houston, TX	February 2022	All Residential	$1,770	11.0%	$1,432	33.2%	$1,206	33.2%	$325,000	18.2%
Houston, TX	February 2022	Condo/Co-op	$1,770	11.0%	$812	59.7%	$683	59.7%	$184,250	41.7%
Houston, TX	February 2022	Multi-Family (2-4 Unit)	$1,770	11.0%	$1,520	30.9%	$1,280	30.9%	$345,000	16.2%
Houston, TX	February 2022	Single Family Residential	$1,770	11.0%	$1,462	33.6%	$1,232	33.6%	$332,000	18.6%
Houston, TX	February 2022	Townhouse	$1,770	11.0%	$1,277	33.7%	$1,076	33.7%	$290,000	18.6%
Houston, TX	March 2022	All Residential	$1,734	11.2%	$1,528	30.9%	$1,286	30.9%	$330,000	14.4%
Houston, TX	March 2022	Condo/Co-op	$1,734	11.2%	$764	24.2%	$643	24.2%	$165,000	8.6%
Houston, TX	March 2022	Multi-Family (2-4 Unit)	$1,734	11.2%	$1,609	32.5%	$1,355	32.5%	$347,500	15.8%
Houston, TX	March 2022	Single Family Residential	$1,734	11.2%	$1,574	31.8%	$1,325	31.8%	$339,990	15.3%
Houston, TX	March 2022	Townhouse	$1,734	11.2%	$1,365	25.4%	$1,150	25.4%	$294,900	9.6%
Houston, TX	April 2022	All Residential	$1,766	12.1%	$1,730	45.8%	$1,457	45.8%	$340,000	15.6%
Houston, TX	April 2022	Condo/Co-op	$1,766	12.1%	$899	59.2%	$757	59.2%	$176,750	26.2%
Houston, TX	April 2022	Multi-Family (2-4 Unit)	$1,766	12.1%	$1,641	33.3%	$1,382	33.3%	$322,500	5.7%
Houston, TX	April 2022	Single Family Residential	$1,766	12.1%	$1,781	47.3%	$1,500	47.3%	$350,000	16.9%
Houston, TX	April 2022	Townhouse	$1,766	12.1%	$1,523	34.8%	$1,283	34.8%	$299,350	6.9%
Houston, TX	May 2022	All Residential	$1,822	16.1%	$1,832	53.2%	$1,543	53.2%	$350,000	16.7%
Houston, TX	May 2022	Condo/Co-op	$1,822	16.1%	$916	45.5%	$771	45.5%	$175,000	10.8%
Houston, TX	May 2022	Multi-Family (2-4 Unit)	$1,822	16.1%	$2,185	59.0%	$1,840	59.0%	$417,500	21.0%
Houston, TX	May 2022	Single Family Residential	$1,822	16.1%	$1,884	52.8%	$1,587	52.8%	$360,000	16.3%
Houston, TX	May 2022	Townhouse	$1,822	16.1%	$1,671	61.0%	$1,407	61.0%	$319,250	22.6%
Houston, TX	June 2022	All Residential	$1,777	9.2%	$1,903	53.2%	$1,602	53.2%	$352,000	13.2%
Houston, TX	June 2022	Condo/Co-op	$1,777	9.2%	$942	48.0%	$793	48.0%	$174,200	9.4%
Houston, TX	June 2022	Multi-Family (2-4 Unit)	$1,777	9.2%	$1,892	63.6%	$1,593	63.6%	$349,995	20.9%
Houston, TX	June 2022	Single Family Residential	$1,777	9.2%	$1,946	53.4%	$1,639	53.4%	$360,000	13.4%
Houston, TX	June 2022	Townhouse	$1,777	9.2%	$1,676	52.5%	$1,411	52.5%	$309,995	12.7%
Indianapolis, IN	February 2021	All Residential	$1,175		$867		$730		$221,750	16.7%
Indianapolis, IN	February 2021	Condo/Co-op	$1,175		$684		$576		$175,000	-9.1%
Indianapolis, IN	February 2021	Multi-Family (2-4 Unit)	$1,175		$449		$379		$115,000	39.2%
Indianapolis, IN	February 2021	Single Family Residential	$1,175		$899		$757		$230,000	19.2%
Indianapolis, IN	February 2021	Townhouse	$1,175		$1,035		$872		$264,900	
Indianapolis, IN	March 2021	All Residential	$1,211		$910		$767		$225,000	7.3%
Indianapolis, IN	March 2021	Condo/Co-op	$1,211		$688		$579		$170,000	0.0%
Indianapolis, IN	March 2021	Multi-Family (2-4 Unit)	$1,211		$526		$443		$130,000	36.8%
Indianapolis, IN	March 2021	Single Family Residential	$1,211		$931		$784		$230,000	7.6%
Indianapolis, IN	March 2021	Townhouse	$1,211		$749		$630		$185,000	
Indianapolis, IN	April 2021	All Residential	$1,217		$957		$806		$237,000	11.8%
Indianapolis, IN	April 2021	Condo/Co-op	$1,217		$783		$659		$193,900	16.1%
Indianapolis, IN	April 2021	Multi-Family (2-4 Unit)	$1,217		$536		$451		$132,750	22.9%
Indianapolis, IN	April 2021	Single Family Residential	$1,217		$989		$833		$245,000	12.9%
Indianapolis, IN	April 2021	Townhouse	$1,217		$1,110		$934		$274,900	
Indianapolis, IN	May 2021	All Residential	$1,222		$1,003		$845		$251,775	17.3%
Indianapolis, IN	May 2021	Condo/Co-op	$1,222		$787		$663		$197,500	16.9%
Indianapolis, IN	May 2021	Multi-Family (2-4 Unit)	$1,222		$586		$493		$147,000	68.0%
Indianapolis, IN	May 2021	Single Family Residential	$1,222		$1,036		$872		$260,000	19.3%
Indianapolis, IN	May 2021	Townhouse	$1,222		$1,190		$1,002		$298,692	
Indianapolis, IN	June 2021	All Residential	$1,243		$999		$841		$250,000	14.2%
Indianapolis, IN	June 2021	Condo/Co-op	$1,243		$781		$658		$195,500	18.5%
Indianapolis, IN	June 2021	Multi-Family (2-4 Unit)	$1,243		$628		$529		$157,150	20.0%
Indianapolis, IN	June 2021	Single Family Residential	$1,243		$1,019		$858		$255,000	13.8%
Indianapolis, IN	June 2021	Townhouse	$1,243		$1,181		$994		$295,583	
Indianapolis, IN	July 2021	All Residential	$1,270		$1,011		$851		$256,650	13.8%
Indianapolis, IN	July 2021	Condo/Co-op	$1,270		$748		$630		$190,000	8.6%
Indianapolis, IN	July 2021	Multi-Family (2-4 Unit)	$1,270		$579		$488		$147,000	23.5%
Indianapolis, IN	July 2021	Single Family Residential	$1,270		$1,034		$871		$262,500	13.6%
Indianapolis, IN	August 2021	All Residential	$1,265		$981		$826		$250,000	10.1%
Indianapolis, IN	August 2021	Condo/Co-op	$1,265		$785		$661		$199,999	14.4%
Indianapolis, IN	August 2021	Multi-Family (2-4 Unit)	$1,265		$520		$438		$132,500	43.4%
Indianapolis, IN	August 2021	Single Family Residential	$1,265		$1,007		$848		$256,716	9.2%
Indianapolis, IN	August 2021	Townhouse	$1,265		$1,179		$993		$300,399	48.7%
Indianapolis, IN	September 2021	All Residential	$1,267		$998		$841		$252,500	12.2%
Indianapolis, IN	September 2021	Condo/Co-op	$1,267		$822		$693		$208,000	15.6%
Indianapolis, IN	September 2021	Multi-Family (2-4 Unit)	$1,267		$542		$456		$137,000	45.7%
Indianapolis, IN	September 2021	Single Family Residential	$1,267		$1,027		$865		$259,700	12.8%
Indianapolis, IN	September 2021	Townhouse	$1,267		$1,196		$1,007		$302,450	13.7%
Indianapolis, IN	October 2021	All Residential	$1,285		$1,018		$858		$252,000	14.3%
Indianapolis, IN	October 2021	Condo/Co-op	$1,285		$787		$663		$194,750	8.8%
Indianapolis, IN	October 2021	Multi-Family (2-4 Unit)	$1,285		$505		$425		$125,000	26.9%
Indianapolis, IN	October 2021	Single Family Residential	$1,285		$1,040		$876		$257,394	14.4%
Indianapolis, IN	October 2021	Townhouse	$1,285		$1,270		$1,069		$314,217	
Indianapolis, IN	November 2021	All Residential	$1,293		$1,010		$851		$250,000	11.9%
Indianapolis, IN	November 2021	Condo/Co-op	$1,293		$849		$715		$210,050	19.6%
Indianapolis, IN	November 2021	Multi-Family (2-4 Unit)	$1,293		$646		$544		$159,950	51.6%
Indianapolis, IN	November 2021	Single Family Residential	$1,293		$1,039		$875		$257,000	12.7%
Indianapolis, IN	December 2021	All Residential	$1,280		$1,018		$857		$251,000	14.1%
Indianapolis, IN	December 2021	Condo/Co-op	$1,280		$872		$735		$215,054	26.5%
Indianapolis, IN	December 2021	Multi-Family (2-4 Unit)	$1,280		$564		$475		$139,000	45.5%
Indianapolis, IN	December 2021	Single Family Residential	$1,280		$1,053		$887		$259,550	15.1%
Indianapolis, IN	December 2021	Townhouse	$1,280		$1,282		$1,079		$315,906	-2.8%
Indianapolis, IN	January 2022	All Residential	$1,311		$1,017		$857		$240,000	12.6%
Indianapolis, IN	January 2022	Condo/Co-op	$1,311		$814		$685		$192,000	6.7%
Indianapolis, IN	January 2022	Multi-Family (2-4 Unit)	$1,311		$593		$500		$139,950	23.8%
Indianapolis, IN	January 2022	Single Family Residential	$1,311		$1,055		$889		$248,900	13.7%
Indianapolis, IN	January 2022	Townhouse	$1,311		$1,338		$1,127		$315,597	
Indianapolis, IN	February 2022	All Residential	$1,382	17.6%	$1,101	27.1%	$927	27.1%	$250,000	12.7%
Indianapolis, IN	February 2022	Condo/Co-op	$1,382	17.6%	$907	32.7%	$764	32.7%	$206,000	17.7%
Indianapolis, IN	February 2022	Multi-Family (2-4 Unit)	$1,382	17.6%	$704	56.7%	$593	56.7%	$159,900	39.0%
Indianapolis, IN	February 2022	Single Family Residential	$1,382	17.6%	$1,123	25.0%	$946	25.0%	$255,000	10.9%
Indianapolis, IN	February 2022	Townhouse	$1,382	17.6%	$1,406	35.8%	$1,184	35.8%	$319,183	20.5%
Indianapolis, IN	March 2022	All Residential	$1,393	15.0%	$1,204	32.2%	$1,014	32.2%	$260,000	15.6%
Indianapolis, IN	March 2022	Condo/Co-op	$1,393	15.0%	$1,032	50.1%	$869	50.1%	$223,000	31.2%
Indianapolis, IN	March 2022	Multi-Family (2-4 Unit)	$1,393	15.0%	$764	45.2%	$643	45.2%	$165,000	26.9%
Indianapolis, IN	March 2022	Single Family Residential	$1,393	15.0%	$1,227	31.8%	$1,033	31.8%	$265,000	15.2%
Indianapolis, IN	April 2022	All Residential	$1,428	17.3%	$1,374	43.6%	$1,157	43.6%	$270,000	13.9%
Indianapolis, IN	April 2022	Condo/Co-op	$1,428	17.3%	$1,109	41.7%	$934	41.7%	$218,000	12.4%
Indianapolis, IN	April 2022	Multi-Family (2-4 Unit)	$1,428	17.3%	$822	53.4%	$692	53.4%	$161,500	21.7%
Indianapolis, IN	April 2022	Single Family Residential	$1,428	17.3%	$1,404	41.9%	$1,182	41.9%	$275,850	12.6%
Indianapolis, IN	April 2022	Townhouse	$1,428	17.3%	$1,592	43.5%	$1,341	43.5%	$312,895	13.8%
Indianapolis, IN	May 2022	All Residential	$1,471	20.4%	$1,492	48.7%	$1,256	48.7%	$285,000	13.2%
Indianapolis, IN	May 2022	Condo/Co-op	$1,471	20.4%	$1,260	60.1%	$1,061	60.1%	$240,650	21.8%
Indianapolis, IN	May 2022	Multi-Family (2-4 Unit)	$1,471	20.4%	$942	60.8%	$793	60.8%	$179,950	22.4%
Indianapolis, IN	May 2022	Single Family Residential	$1,471	20.4%	$1,523	47.0%	$1,283	47.0%	$291,000	11.9%
Indianapolis, IN	May 2022	Townhouse	$1,471	20.4%	$1,799	51.2%	$1,515	51.2%	$343,790	15.1%
Indianapolis, IN	June 2022	All Residential	$1,499	20.6%	$1,600	60.2%	$1,347	60.2%	$296,000	18.4%
Indianapolis, IN	June 2022	Condo/Co-op	$1,499	20.6%	$1,257	60.9%	$1,058	60.9%	$232,500	18.9%
Indianapolis, IN	June 2022	Multi-Family (2-4 Unit)	$1,499	20.6%	$924	47.2%	$778	47.2%	$171,000	8.8%
Indianapolis, IN	June 2022	Single Family Residential	$1,499	20.6%	$1,649	61.9%	$1,388	61.9%	$305,000	19.6%
Indianapolis, IN	June 2022	Townhouse	$1,499	20.6%	$1,877	58.9%	$1,580	58.9%	$347,150	17.4%
Jacksonville, FL	February 2021	All Residential	$1,279		$1,047		$882		$267,843	11.6%
Jacksonville, FL	February 2021	Condo/Co-op	$1,279		$743		$625		$190,000	13.4%
Jacksonville, FL	February 2021	Multi-Family (2-4 Unit)	$1,279		$1,505		$1,267		$385,000	51.9%
Jacksonville, FL	February 2021	Single Family Residential	$1,279		$1,096		$923		$280,500	9.5%
Jacksonville, FL	February 2021	Townhouse	$1,279		$855		$720		$218,745	18.2%
Jacksonville, FL	March 2021	All Residential	$1,312		$1,133		$954		$280,000	13.4%
Jacksonville, FL	March 2021	Condo/Co-op	$1,312		$789		$664		$195,000	16.1%
Jacksonville, FL	March 2021	Multi-Family (2-4 Unit)	$1,312		$2,144		$1,806		$529,900	7.9%
Jacksonville, FL	March 2021	Single Family Residential	$1,312		$1,204		$1,014		$297,498	14.4%
Jacksonville, FL	March 2021	Townhouse	$1,312		$870		$733		$215,000	8.4%
Jacksonville, FL	April 2021	All Residential	$1,370		$1,173		$988		$290,745	15.4%
Jacksonville, FL	April 2021	Condo/Co-op	$1,370		$877		$738		$217,250	27.8%
Jacksonville, FL	April 2021	Multi-Family (2-4 Unit)	$1,370		$1,836		$1,546		$455,000	188.9%
Jacksonville, FL	April 2021	Single Family Residential	$1,370		$1,239		$1,043		$306,863	14.9%
Jacksonville, FL	April 2021	Townhouse	$1,370		$916		$772		$227,000	19.5%
Jacksonville, FL	May 2021	All Residential	$1,436		$1,168		$983		$293,000	16.9%
Jacksonville, FL	May 2021	Condo/Co-op	$1,436		$869		$732		$218,000	32.9%
Jacksonville, FL	May 2021	Multi-Family (2-4 Unit)	$1,436		$1,674		$1,409		$420,000	13.8%
Jacksonville, FL	May 2021	Single Family Residential	$1,436		$1,215		$1,023		$305,000	16.0%
Jacksonville, FL	May 2021	Townhouse	$1,436		$877		$738		$220,000	17.6%
Jacksonville, FL	June 2021	All Residential	$1,515		$1,222		$1,029		$305,795	18.1%
Jacksonville, FL	June 2021	Condo/Co-op	$1,515		$848		$714		$212,382	28.7%
Jacksonville, FL	June 2021	Multi-Family (2-4 Unit)	$1,515		$2,117		$1,783		$529,900	79.6%
Jacksonville, FL	June 2021	Single Family Residential	$1,515		$1,318		$1,110		$330,000	20.7%
Jacksonville, FL	June 2021	Townhouse	$1,515		$919		$774		$229,995	19.8%
Jacksonville, FL	July 2021	All Residential	$1,603		$1,226		$1,033		$311,300	17.5%
Jacksonville, FL	July 2021	Condo/Co-op	$1,603		$788		$663		$200,000	11.1%
Jacksonville, FL	July 2021	Multi-Family (2-4 Unit)	$1,603		$2,482		$2,090		$630,000	231.6%
Jacksonville, FL	July 2021	Single Family Residential	$1,603		$1,316		$1,108		$334,000	17.6%
Jacksonville, FL	July 2021	Townhouse	$1,603		$897		$755		$227,745	14.4%
Jacksonville, FL	August 2021	All Residential	$1,683		$1,221		$1,028		$311,200	17.4%
Jacksonville, FL	August 2021	Condo/Co-op	$1,683		$784		$661		$199,929	17.1%
Jacksonville, FL	August 2021	Multi-Family (2-4 Unit)	$1,683		$1,762		$1,484		$449,000	45.9%
Jacksonville, FL	August 2021	Single Family Residential	$1,683		$1,305		$1,099		$332,500	17.1%
Jacksonville, FL	August 2021	Townhouse	$1,683		$930		$783		$237,000	15.9%
Jacksonville, FL	September 2021	All Residential	$1,667		$1,246		$1,050		$315,193	21.2%
Jacksonville, FL	September 2021	Condo/Co-op	$1,667		$809		$681		$204,500	13.9%
Jacksonville, FL	September 2021	Multi-Family (2-4 Unit)	$1,667		$1,219		$1,026		$308,250	30.6%
